"rgn_id","product","year","tonnes"
1,"corals",1994,2.03396121635797
5,"corals",1994,4.40101205926004
4,"corals",1994,26.7932283586259
2,"corals",1994,9.26221756153649
3,"corals",1994,6.17624747088625
1,"corals",1995,1.95385657941237
5,"corals",1995,4.2276845295289
4,"corals",1995,25.7380155979266
2,"corals",1995,8.8974384452431
3,"corals",1995,5.93300484788902
1,"corals",1996,1.54636777408037
5,"corals",1996,3.34597492176619
4,"corals",1996,20.3701941630649
2,"corals",1996,7.04182294062021
3,"corals",1996,4.69564020046831
1,"corals",1997,1.32695072505546
5,"corals",1997,2.87120820989396
4,"corals",1997,17.4798287750625
2,"corals",1997,6.04264536120788
3,"corals",1997,4.02936692878024
1,"corals",1998,0.61645742345096
5,"corals",1998,1.33386838097436
4,"corals",1998,8.12055037581642
2,"corals",1998,2.8072131993013
3,"corals",1998,1.87191062045696
1,"corals",1999,0.240313910836815
5,"corals",1999,0.519982589193395
4,"corals",1999,3.16563828209793
2,"corals",1999,1.09433734888017
3,"corals",1999,0.729727868991697
1,"corals",2000,0.188071756307073
5,"corals",2000,0.406942895890483
4,"corals",2000,2.47745604685925
2,"corals",2000,0.856437925210566
3,"corals",2000,0.571091375732633
1,"corals",2001,0.0940358781535363
5,"corals",2001,0.203471447945241
4,"corals",2001,1.23872802342962
2,"corals",2001,0.428218962605283
3,"corals",2001,0.285545687866316
1,"corals",2002,0.146278032683279
5,"corals",2002,0.316511141248153
4,"corals",2002,1.9269102586683
2,"corals",2002,0.666118386274884
3,"corals",2002,0.444182181125381
1,"corals",2003,0.0940358781535363
5,"corals",2003,0.203471447945241
4,"corals",2003,1.23872802342962
2,"corals",2003,0.428218962605283
3,"corals",2003,0.285545687866316
1,"corals",2004,0.0835874472475878
5,"corals",2004,0.180863509284659
4,"corals",2004,1.10109157638189
2,"corals",2004,0.380639077871362
3,"corals",2004,0.253818389214503
1,"corals",2005,3.43753376805705
5,"corals",2005,7.4380118193316
4,"corals",2005,45.2823910787051
2,"corals",2005,15.6537820774598
3,"corals",2005,10.4382812564465
1,"corals",2006,3.4061884753392
5,"corals",2006,7.37018800334985
4,"corals",2006,44.8694817375619
2,"corals",2006,15.511042423258
3,"corals",2006,10.343099360491
1,"corals",2007,3.4061884753392
5,"corals",2007,7.37018800334985
4,"corals",2007,44.8694817375619
2,"corals",2007,15.511042423258
3,"corals",2007,10.343099360491
1,"corals",2008,3.4061884753392
5,"corals",2008,7.37018800334985
4,"corals",2008,44.8694817375619
2,"corals",2008,15.511042423258
3,"corals",2008,10.343099360491
1,"corals",2009,0.0417937236237939
5,"corals",2009,0.0904317546423295
4,"corals",2009,0.550545788190944
2,"corals",2009,0.190319538935681
3,"corals",2009,0.126909194607252
1,"corals",2010,0
5,"corals",2010,0
4,"corals",2010,0
2,"corals",2010,0
3,"corals",2010,0
1,"corals",2011,0
5,"corals",2011,0
4,"corals",2011,0
2,"corals",2011,0
3,"corals",2011,0
1,"fish_oil",1976,220.935554316582
5,"fish_oil",1976,478.052398957568
4,"fish_oil",1976,2910.36855164006
2,"fish_oil",1976,1006.09252266032
3,"fish_oil",1976,670.884305758801
1,"fish_oil",1977,197.046958455282
5,"fish_oil",1977,426.363115199923
4,"fish_oil",1977,2595.68575487325
2,"fish_oil",1977,897.309046197003
3,"fish_oil",1977,598.34512527454
1,"fish_oil",1978,156.789154174663
5,"fish_oil",1978,339.254727540699
4,"fish_oil",1978,2065.37252439833
2,"fish_oil",1978,713.983750317208
3,"fish_oil",1978,476.099843569105
1,"fish_oil",1979,109.708524512459
5,"fish_oil",1979,237.383355936115
4,"fish_oil",1979,1445.18269400123
2,"fish_oil",1979,499.588789706163
3,"fish_oil",1979,333.136635844036
1,"fish_oil",1980,31.3452927178454
5,"fish_oil",1980,67.8238159817471
4,"fish_oil",1980,412.909341143208
2,"fish_oil",1980,142.739654201761
3,"fish_oil",1980,95.1818959554388
1,"fish_oil",1981,0
5,"fish_oil",1981,0
4,"fish_oil",1981,0
2,"fish_oil",1981,0
3,"fish_oil",1981,0
1,"fish_oil",1982,0
5,"fish_oil",1982,0
4,"fish_oil",1982,0
2,"fish_oil",1982,0
3,"fish_oil",1982,0
1,"fish_oil",1983,57.0275358846668
5,"fish_oil",1983,123.394129209459
4,"fish_oil",1983,751.219727986543
2,"fish_oil",1983,259.691010877737
3,"fish_oil",1983,173.167596041595
1,"fish_oil",1984,132.444310163803
5,"fish_oil",1984,286.578230461542
4,"fish_oil",1984,1744.6796027771
2,"fish_oil",1984,603.122618887174
3,"fish_oil",1984,402.175237710381
1,"fish_oil",1985,132.444310163803
5,"fish_oil",1985,286.578230461542
4,"fish_oil",1985,1744.6796027771
2,"fish_oil",1985,603.122618887174
3,"fish_oil",1985,402.175237710381
1,"fish_oil",1986,132.444310163803
5,"fish_oil",1986,286.578230461542
4,"fish_oil",1986,1744.6796027771
2,"fish_oil",1986,603.122618887174
3,"fish_oil",1986,402.175237710381
1,"fish_oil",1987,75.4167742791361
5,"fish_oil",1987,163.184101252084
4,"fish_oil",1987,993.459874790558
2,"fish_oil",1987,343.431608009437
3,"fish_oil",1987,229.007641668786
1,"fish_oil",1988,0
5,"fish_oil",1988,0
4,"fish_oil",1988,0
2,"fish_oil",1988,0
3,"fish_oil",1988,0
1,"fish_oil",1989,0
5,"fish_oil",1989,0
4,"fish_oil",1989,0
2,"fish_oil",1989,0
3,"fish_oil",1989,0
1,"fish_oil",1990,0
5,"fish_oil",1990,0
4,"fish_oil",1990,0
2,"fish_oil",1990,0
3,"fish_oil",1990,0
1,"fish_oil",1991,0
